Year,Month,comp_index,comp_yoy,A_index,A_yoy,B_index,B_yoy,C_index,C_yoy
1990,Jan,  54.4,+10.1,  55.2,+9.8,  55.0,+9.5,  52.8,+11.1
1990,Feb,  54.9,+8.9,  55.7,+8.4,  55.4,+8.3,  53.0,+10.0
1990,Mar,  55.5,+10.2,  56.3,+10.0,  56.0,+9.6,  53.7,+10.9
1990,Apr,  56.1,+9.8,  56.9,+9.4,  56.6,+9.3,  54.5,+10.6
1990,May,  56.7,+9.9,  57.3,+9.3,  57.1,+9.3,  55.3,+11.1
1990,Jun,  57.3,+9.9,  57.9,+9.1,  57.7,+9.3,  55.8,+11.3
1990,Jul,  57.5,+10.0,  58.2,+9.4,  58.0,+9.5,  55.9,+11.2
1990,Aug,  57.7,+10.1,  58.4,+9.4,  58.2,+9.6,  56.2,+11.3
1990,Sep,  58.7,+10.3,  59.4,+9.7,  59.1,+9.9,  57.2,+11.4
1990,Oct,  59.2,+10.9,  59.8,+10.4,  59.6,+10.4,  57.9,+12.0
1990,Nov,  59.7,+11.2,  60.2,+10.9,  60.1,+10.8,  58.4,+12.0
1990,Dec,  60.1,+11.3,  60.7,+11.3,  60.6,+11.1,  58.6,+11.5
1991,Jan,  60.5,+11.1,  61.2,+10.8,  61.0,+10.8,  58.9,+11.6
1991,Feb,  61.5,+12.2,  62.3,+11.9,  62.0,+11.9,  59.8,+12.8
1991,Mar,  62.1,+12.5,  63.2,+12.9,  62.5,+12.3,  60.0,+12.2
1991,Apr,  63.1,+13.0,  64.4,+13.9,  63.6,+13.0,  60.7,+11.9
1991,May,  63.5,+12.4,  64.4,+13.0,  63.9,+12.4,  61.5,+11.6
1991,Jun,  63.8,+11.7,  64.7,+12.3,  64.2,+11.8,  61.8,+10.9
1991,Jul,  64.1,+11.9,  65.2,+12.6,  64.6,+11.9,  61.8,+11.0
1991,Aug,  64.4,+11.9,  65.5,+12.7,  64.9,+12.0,  62.1,+10.9
1991,Sep,  64.9,+11.0,  66.0,+11.5,  65.4,+11.2,  62.8,+10.1
1991,Oct,  65.4,+10.4,  66.2,+10.8,  65.7,+10.3,  63.6,+10.0
1991,Nov,  65.8,+10.3,  66.5,+10.6,  66.2,+10.2,  64.3,+10.1
1991,Dec,  66.0,+9.9,  66.7,+10.0,  66.6,+9.9,  64.3,+9.6
1992,Jan,  66.7,+10.2,  67.6,+10.5,  67.1,+10.1,  64.7,+9.9
1992,Feb,  67.7,+10.1,  68.8,+10.4,  68.2,+10.1,  65.6,+9.8
1992,Mar,  68.1,+9.7,  69.2,+9.5,  68.6,+9.7,  66.1,+10.1
1992,Apr,  68.9,+9.2,  70.1,+8.9,  69.5,+9.2,  66.6,+9.7
1992,May,  69.2,+9.1,  70.1,+8.8,  69.7,+9.0,  67.3,+9.5
1992,Jun,  69.9,+9.6,  70.8,+9.3,  70.4,+9.6,  67.9,+10.0
1992,Jul,  70.0,+9.3,  70.9,+8.8,  70.6,+9.3,  68.0,+10.1
1992,Aug,  70.2,+9.0,  71.0,+8.3,  70.8,+9.1,  68.2,+9.8
1992,Sep,  71.4,+10.1,  72.5,+9.9,  72.0,+10.2,  69.1,+10.2
1992,Oct,  71.7,+9.7,  72.5,+9.5,  72.3,+10.0,  69.7,+9.5
1992,Nov,  72.0,+9.4,  72.6,+9.2,  72.6,+9.6,  70.4,+9.5
1992,Dec,  72.4,+9.6,  73.0,+9.4,  73.1,+9.7,  70.5,+9.7
1993,Jan,  73.5,+10.2,  74.5,+10.1,  74.1,+10.3,  71.3,+10.1
1993,Feb,  73.8,+8.9,  74.8,+8.6,  74.4,+9.1,  71.6,+9.1
1993,Mar,  73.9,+8.4,  74.6,+7.8,  74.4,+8.5,  72.2,+9.2
1993,Apr,  74.7,+8.5,  75.5,+7.7,  75.4,+8.5,  72.9,+9.5
1993,May,  75.4,+8.9,  76.0,+8.5,  75.9,+8.8,  73.9,+9.8
1993,Jun,  76.0,+8.8,  76.8,+8.6,  76.5,+8.7,  74.3,+9.5
1993,Jul,  76.0,+8.6,  76.7,+8.2,  76.6,+8.5,  74.2,+9.2
1993,Aug,  76.3,+8.7,  77.0,+8.5,  76.9,+8.5,  74.5,+9.2
1993,Sep,  77.3,+8.3,  78.2,+7.9,  77.8,+8.1,  75.5,+9.2
1993,Oct,  78.2,+9.0,  79.1,+9.0,  78.6,+8.7,  76.3,+9.4
1993,Nov,  78.3,+8.7,  78.7,+8.4,  78.7,+8.4,  77.1,+9.5
1993,Dec,  78.9,+9.0,  79.3,+8.6,  79.3,+8.5,  77.7,+10.2
1994,Jan,  78.8,+7.2,  79.1,+6.2,  79.2,+6.9,  77.7,+9.0
1994,Feb,  80.0,+8.4,  80.6,+7.8,  80.4,+8.1,  78.6,+9.8
1994,Mar,  80.1,+8.4,  80.5,+8.0,  80.5,+8.2,  78.8,+9.2
1994,Apr,  81.1,+8.4,  81.2,+7.7,  81.5,+8.2,  80.2,+9.9
1994,May,  81.9,+8.6,  81.9,+7.8,  82.2,+8.4,  81.3,+10.0
1994,Jun,  82.4,+8.4,  82.6,+7.5,  82.7,+8.1,  81.9,+10.1
1994,Jul,  82.8,+8.9,  83.2,+8.5,  83.2,+8.6,  81.6,+9.9
1994,Aug,  83.8,+9.8,  84.5,+9.8,  84.2,+9.5,  82.3,+10.4
1994,Sep,  84.4,+9.2,  84.9,+8.6,  84.9,+9.0,  83.2,+10.2
1994,Oct,  85.2,+9.0,  85.4,+7.9,  85.7,+9.0,  84.2,+10.5
1994,Nov,  85.7,+9.5,  85.5,+8.6,  86.2,+9.5,  85.3,+10.6
1994,Dec,  86.4,+9.5,  86.4,+8.9,  86.8,+9.5,  85.7,+10.3
1995,Jan,  86.9,+10.3,  87.2,+10.1,  87.5,+10.4,  85.9,+10.3
1995,Feb,  87.5,+9.4,  87.8,+8.9,  88.2,+9.6,  86.2,+9.7
1995,Mar,  87.9,+9.8,  88.2,+9.5,  88.6,+10.0,  86.6,+9.9
1995,Apr,  89.0,+9.8,  89.1,+9.6,  89.6,+9.9,  88.0,+9.8
1995,May,  89.6,+9.3,  89.4,+9.1,  90.1,+9.5,  89.0,+9.5
1995,Jun,  90.2,+9.4,  90.0,+8.9,  90.7,+9.6,  89.7,+9.7
1995,Jul,  90.3,+9.2,  90.2,+8.5,  90.8,+9.2,  89.7,+10.1
1995,Aug,  91.2,+9.0,  91.4,+8.3,  91.7,+9.0,  90.2,+9.8
1995,Sep,  92.0,+9.2,  92.2,+8.9,  92.4,+9.1,  91.1,+9.8
1995,Oct,  92.5,+8.8,  92.4,+8.4,  93.1,+8.8,  91.8,+9.4
1995,Nov,  92.7,+8.4,  92.4,+8.2,  93.2,+8.3,  92.4,+8.9
1995,Dec,  92.5,+7.2,  92.1,+6.6,  93.1,+7.3,  92.0,+7.9
1996,Jan,  92.6,+6.5,  92.2,+5.8,  93.3,+6.6,  92.2,+7.3
1996,Feb,  93.6,+6.9,  93.4,+6.4,  94.3,+7.0,  92.7,+7.5
1996,Mar,  94.1,+7.0,  94.0,+6.5,  94.8,+7.0,  93.2,+7.5
1996,Apr,  95.2,+7.0,  95.1,+6.8,  95.9,+7.0,  94.3,+7.1
1996,May,  95.4,+6.5,  94.9,+6.1,  96.0,+6.6,  95.1,+6.9
1996,Jun,  95.9,+6.4,  95.5,+6.1,  96.5,+6.4,  95.7,+6.6
1996,Jul,  96.0,+6.2,  95.7,+6.1,  96.6,+6.4,  95.3,+6.2
1996,Aug,  96.1,+5.4,  95.8,+4.9,  96.7,+5.5,  95.5,+5.9
1996,Sep,  97.1,+5.6,  97.1,+5.2,  97.8,+5.9,  96.2,+5.6
1996,Oct,  97.8,+5.7,  97.4,+5.4,  98.5,+5.8,  97.3,+6.0
1996,Nov,  98.2,+5.9,  97.7,+5.8,  98.9,+6.1,  97.8,+5.8
1996,Dec,  98.6,+6.6,  98.3,+6.7,  99.2,+6.5,  98.1,+6.7
1997,Jan,  98.5,+6.3,  98.3,+6.6,  99.2,+6.3,  97.6,+5.9
1997,Feb,  99.4,+6.3,  99.4,+6.5,  100.1,+6.1,  98.4,+6.2
1997,Mar,  99.6,+5.9,  99.3,+5.7,  100.2,+5.8,  99.0,+6.3
1997,Apr,  100.6,+5.6,  100.1,+5.2,  101.2,+5.4,  100.3,+6.4
1997,May,  100.9,+5.8,  100.3,+5.8,  101.5,+5.7,  100.8,+6.0
1997,Jun,  101.3,+5.6,  100.6,+5.4,  101.8,+5.6,  101.3,+5.9
1997,Jul,  102.1,+6.4,  101.9,+6.5,  102.6,+6.2,  101.6,+6.6
1997,Aug,  102.2,+6.3,  102.1,+6.6,  102.8,+6.3,  101.4,+6.2
1997,Sep,  102.6,+5.6,  102.2,+5.3,  103.3,+5.6,  101.9,+5.9
1997,Oct,  103.3,+5.7,  102.7,+5.5,  104.1,+5.7,  103.0,+5.9
1997,Nov,  103.5,+5.4,  102.7,+5.1,  104.2,+5.4,  103.5,+5.9
1997,Dec,  103.7,+5.2,  103.0,+4.8,  104.4,+5.2,  103.8,+5.8
1998,Jan,  103.8,+5.4,  103.3,+5.1,  104.5,+5.4,  103.4,+5.9
1998,Feb,  104.1,+4.7,  103.9,+4.5,  104.9,+4.8,  103.2,+4.9
1998,Mar,  104.4,+4.8,  104.1,+4.8,  105.2,+5.0,  103.7,+4.7
1998,Apr,  105.3,+4.7,  104.5,+4.4,  106.1,+4.9,  105.2,+4.9
1998,May,  105.5,+4.5,  104.6,+4.3,  106.0,+4.4,  105.8,+4.9
1998,Jun,  105.3,+4.0,  104.6,+4.0,  105.8,+3.9,  105.5,+4.1
1998,Jul,  105.3,+3.2,  104.6,+2.7,  105.9,+3.2,  105.4,+3.7
1998,Aug,  105.0,+2.7,  104.1,+2.0,  105.6,+2.7,  105.1,+3.7
1998,Sep,  105.1,+2.5,  104.6,+2.3,  105.7,+2.3,  105.1,+3.1
1998,Oct,  103.4,+0.1,  102.6,-0.1,  104.1,0.0,  103.5,+0.5
1998,Nov,  102.8,-0.7,  101.8,-0.9,  103.3,-0.9,  103.3,-0.2
1998,Dec,  102.1,-1.6,  101.5,-1.4,  102.6,-1.7,  101.9,-1.8
1999,Jan,  102.7,-1.1,  102.4,-0.9,  102.9,-1.6,  102.8,-0.5
1999,Feb,  102.3,-1.7,  102.4,-1.5,  102.5,-2.3,  102.1,-1.1
1999,Mar,  101.7,-2.6,  101.7,-2.3,  101.8,-3.3,  101.7,-1.9
1999,Apr,  101.3,-3.8,  101.0,-3.3,  101.3,-4.5,  101.7,-3.3
1999,May,  101.3,-4.0,  101.0,-3.5,  101.1,-4.6,  102.0,-3.6
1999,Jun,  101.0,-4.1,  100.8,-3.7,  100.7,-4.8,  101.7,-3.6
1999,Jul,  99.5,-5.5,  99.4,-5.0,  99.3,-6.3,  100.0,-5.1
1999,Aug,  98.6,-6.1,  98.8,-5.2,  98.3,-6.9,  98.7,-6.1
1999,Sep,  98.8,-6.0,  99.4,-4.9,  98.4,-6.9,  98.6,-6.1
1999,Oct,  99.1,-4.2,  99.7,-3.1,  98.9,-5.1,  98.9,-4.1
1999,Nov,  98.4,-4.2,  98.9,-2.9,  98.1,-4.9,  98.2,-4.5
1999,Dec,  97.9,-4.0,  98.7,-2.9,  97.7,-4.9,  97.5,-4.1
2000,Jan,  97.3,-5.3,  98.2,-4.2,  97.1,-5.7,  96.5,-6.2
2000,Feb,  97.2,-5.1,  98.1,-4.2,  97.0,-5.4,  96.5,-5.8
2000,Mar,  96.8,-5.0,  97.7,-4.0,  96.6,-5.3,  96.3,-5.7
2000,Apr,  96.9,-4.4,  97.6,-3.4,  96.6,-4.6,  96.5,-5.2
2000,May,  96.7,-4.5,  97.5,-3.4,  96.4,-4.6,  96.4,-5.6
2000,Jun,  96.4,-4.5,  97.2,-3.5,  96.1,-4.5,  95.9,-5.7
2000,Jul,  96.3,-3.2,  97.1,-2.2,  95.9,-3.3,  95.8,-4.3
2000,Aug,  96.0,-2.7,  97.0,-1.8,  95.7,-2.7,  95.3,-3.6
2000,Sep,  96.0,-2.6,  97.1,-2.1,  95.7,-2.5,  95.4,-3.3
2000,Oct,  96.1,-3.1,  97.0,-2.7,  95.7,-3.2,  95.6,-3.4
2000,Nov,  96.2,-2.3,  97.1,-1.9,  95.8,-2.4,  95.7,-2.5
2000,Dec,  95.9,-2.1,  96.8,-1.9,  95.6,-2.1,  95.3,-2.3
