Year,Month,office_supervisor,account_supervisor,estate_officer,stock_clerk,account_clerk,general_clerk,cashier_clerk,receptionist,shipping_clerk,restaurant_receptionist,cook,waiter,security_guard,general_worker,office_assistant,driver,dishwasher,lav_cleaner,gen_cleaner
1990,Mar,9000.00,8603.00,N.A.,N.A.,5339.00,4831.00,N.A.,5445.00,5236.00,N.A.,6821.00,5417.00,N.A.,3643.00,4261.00,5353.00,4061.00,3585.00,2293.00
1990,Sep,9938.00,9202.00,N.A.,N.A.,5628.00,5137.00,N.A.,5744.00,5515.00,N.A.,7226.00,5721.00,N.A.,3783.00,4558.00,5812.00,4309.00,3480.00,2957.00
1991,Mar,10633.00,9803.00,N.A.,N.A.,5996.00,5682.00,N.A.,6186.00,5781.00,N.A.,7796.00,6154.00,N.A.,4077.00,4750.00,6137.00,4678.00,3453.00,2933.00
1991,Sep,11231.00,10236.00,N.A.,N.A.,6250.00,5931.00,N.A.,6510.00,6246.00,N.A.,8347.00,6575.00,N.A.,4274.00,5075.00,6554.00,4866.00,3522.00,2988.00
1992,Mar,12075.00,10596.00,N.A.,N.A.,6588.00,6280.00,N.A.,6924.00,6729.00,N.A.,8687.00,6914.00,N.A.,4476.00,5364.00,6934.00,5132.00,3470.00,3195.00
1992,Sep,12084.00,11241.00,N.A.,N.A.,7020.00,6653.00,N.A.,6930.00,7103.00,N.A.,9227.00,7063.00,N.A.,4859.00,5429.00,7257.00,5326.00,3806.00,3437.00
1993,Mar,12395.00,12070.00,10572.00,N.A.,7789.00,6969.00,N.A.,7104.00,7903.00,8419.00,9472.00,7225.00,5613.00,5159.00,5910.00,8207.00,5460.00,N.A.,3489.00
1993,Sep,12895.00,12988.00,10559.00,N.A.,8126.00,7246.00,N.A.,7283.00,8263.00,8672.00,10033.00,7608.00,5607.00,5431.00,6210.00,8779.00,5577.00,N.A.,3819.00
1994,Mar,13304.00,13617.00,11178.00,N.A.,8612.00,7585.00,N.A.,7766.00,8762.00,8839.00,10443.00,7945.00,5784.00,5749.00,6515.00,9269.00,6022.00,N.A.,4234.00
1994,Sep,13473.00,14513.00,11136.00,N.A.,8928.00,7942.00,N.A.,8185.00,9088.00,9134.00,11013.00,8128.00,5980.00,6019.00,6789.00,9750.00,6124.00,4254.00,4432.00
1995,Mar,14630.00,15422.00,12429.00,N.A.,9510.00,8384.00,N.A.,8627.00,9786.00,9316.00,11319.00,8336.00,6145.00,6175.00,7101.00,10052.00,6245.00,3909.00,4618.00
1995,Sep,15116.00,15866.00,12439.00,N.A.,9780.00,8617.00,N.A.,8895.00,10113.00,9661.00,11613.00,8428.00,5809.00,6342.00,7244.00,10484.00,6252.00,4573.00,4650.00
